Week_end,Indicator,High_industry,Value
2019-05-05,Number of paid jobs - 34 days,Total,2090110
2019-05-05,Number of paid jobs - 34 days,A Primary,95150
2019-05-05,Number of paid jobs - 34 days,B Goods Producing,405050
2019-05-05,Number of paid jobs - 34 days,C Services,1570740
2019-05-05,Number of paid jobs - 34 days,Z No Match,19170
2019-05-05,Weekly earnings - median - 34 days,Total,997.14
2019-05-05,Weekly earnings - median - 34 days,A Primary,908.5
2019-05-05,Weekly earnings - median - 34 days,B Goods Producing,1146.44
2019-05-05,Weekly earnings - median - 34 days,C Services,961.54
2019-05-05,Weekly earnings - median - 34 days,Z No Match,493.12
2019-05-05,Weekly earnings - upper quartile - 34 days,Total,1442.31
2019-05-05,Weekly earnings - upper quartile - 34 days,A Primary,1253.85
2019-05-05,Weekly earnings - upper quartile - 34 days,B Goods Producing,1537.84
2019-05-05,Weekly earnings - upper quartile - 34 days,C Services,1427.5
2019-05-05,Weekly earnings - upper quartile - 34 days,Z No Match,913.43
2019-05-05,Weekly earnings - lower quartile - 34 days,Total,628.95
2019-05-05,Weekly earnings - lower quartile - 34 days,A Primary,525.52
2019-05-05,Weekly earnings - lower quartile - 34 days,B Goods Producing,852.5
2019-05-05,Weekly earnings - lower quartile - 34 days,C Services,568.37
2019-05-05,Weekly earnings - lower quartile - 34 days,Z No Match,187
2019-05-12,Number of paid jobs - 34 days,Total,2081300
2019-05-12,Number of paid jobs - 34 days,A Primary,90210
2019-05-12,Number of paid jobs - 34 days,B Goods Producing,399670
2019-05-12,Number of paid jobs - 34 days,C Services,1574020
2019-05-12,Number of paid jobs - 34 days,Z No Match,17400
2019-05-12,Weekly earnings - median - 34 days,Total,1000
2019-05-12,Weekly earnings - median - 34 days,A Primary,915.4
2019-05-12,Weekly earnings - median - 34 days,B Goods Producing,1153.85
2019-05-12,Weekly earnings - median - 34 days,C Services,963.45
2019-05-12,Weekly earnings - median - 34 days,Z No Match,531
2019-05-12,Weekly earnings - upper quartile - 34 days,Total,1445.88
2019-05-12,Weekly earnings - upper quartile - 34 days,A Primary,1257.29
2019-05-12,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-05-12,Weekly earnings - upper quartile - 34 days,C Services,1435.99
2019-05-12,Weekly earnings - upper quartile - 34 days,Z No Match,960.5
2019-05-12,Weekly earnings - lower quartile - 34 days,Total,644
2019-05-12,Weekly earnings - lower quartile - 34 days,A Primary,555.75
2019-05-12,Weekly earnings - lower quartile - 34 days,B Goods Producing,864.05
2019-05-12,Weekly earnings - lower quartile - 34 days,C Services,580
2019-05-12,Weekly earnings - lower quartile - 34 days,Z No Match,207.3
2019-05-19,Number of paid jobs - 34 days,Total,2097310
2019-05-19,Number of paid jobs - 34 days,A Primary,92840
2019-05-19,Number of paid jobs - 34 days,B Goods Producing,403320
2019-05-19,Number of paid jobs - 34 days,C Services,1582150
2019-05-19,Number of paid jobs - 34 days,Z No Match,19000
2019-05-19,Weekly earnings - median - 34 days,Total,1000
2019-05-19,Weekly earnings - median - 34 days,A Primary,926.42
2019-05-19,Weekly earnings - median - 34 days,B Goods Producing,1153.85
2019-05-19,Weekly earnings - median - 34 days,C Services,962.5
2019-05-19,Weekly earnings - median - 34 days,Z No Match,541.94
2019-05-19,Weekly earnings - upper quartile - 34 days,Total,1448.91
2019-05-19,Weekly earnings - upper quartile - 34 days,A Primary,1281.78
2019-05-19,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-05-19,Weekly earnings - upper quartile - 34 days,C Services,1439.26
2019-05-19,Weekly earnings - upper quartile - 34 days,Z No Match,963.85
2019-05-19,Weekly earnings - lower quartile - 34 days,Total,640.5
2019-05-19,Weekly earnings - lower quartile - 34 days,A Primary,573.48
2019-05-19,Weekly earnings - lower quartile - 34 days,B Goods Producing,861
2019-05-19,Weekly earnings - lower quartile - 34 days,C Services,576.92
2019-05-19,Weekly earnings - lower quartile - 34 days,Z No Match,211.65
2019-05-26,Number of paid jobs - 34 days,Total,2115180
2019-05-26,Number of paid jobs - 34 days,A Primary,92510
2019-05-26,Number of paid jobs - 34 days,B Goods Producing,404060
2019-05-26,Number of paid jobs - 34 days,C Services,1598750
2019-05-26,Number of paid jobs - 34 days,Z No Match,19860
2019-05-26,Weekly earnings - median - 34 days,Total,1000
2019-05-26,Weekly earnings - median - 34 days,A Primary,940.71
2019-05-26,Weekly earnings - median - 34 days,B Goods Producing,1154
2019-05-26,Weekly earnings - median - 34 days,C Services,963.52
2019-05-26,Weekly earnings - median - 34 days,Z No Match,531
2019-05-26,Weekly earnings - upper quartile - 34 days,Total,1448.43
2019-05-26,Weekly earnings - upper quartile - 34 days,A Primary,1297.1
2019-05-26,Weekly earnings - upper quartile - 34 days,B Goods Producing,1539.25
2019-05-26,Weekly earnings - upper quartile - 34 days,C Services,1436.21
2019-05-26,Weekly earnings - upper quartile - 34 days,Z No Match,957.99
2019-05-26,Weekly earnings - lower quartile - 34 days,Total,646.05
2019-05-26,Weekly earnings - lower quartile - 34 days,A Primary,590.4
2019-05-26,Weekly earnings - lower quartile - 34 days,B Goods Producing,864
2019-05-26,Weekly earnings - lower quartile - 34 days,C Services,583
2019-05-26,Weekly earnings - lower quartile - 34 days,Z No Match,211.14
2019-06-02,Number of paid jobs - 34 days,Total,2130250
2019-06-02,Number of paid jobs - 34 days,A Primary,92100
2019-06-02,Number of paid jobs - 34 days,B Goods Producing,406040
2019-06-02,Number of paid jobs - 34 days,C Services,1610150
2019-06-02,Number of paid jobs - 34 days,Z No Match,21960
2019-06-02,Weekly earnings - median - 34 days,Total,995.19
2019-06-02,Weekly earnings - median - 34 days,A Primary,908.75
2019-06-02,Weekly earnings - median - 34 days,B Goods Producing,1134
2019-06-02,Weekly earnings - median - 34 days,C Services,961.54
2019-06-02,Weekly earnings - median - 34 days,Z No Match,527.56
2019-06-02,Weekly earnings - upper quartile - 34 days,Total,1442.31
2019-06-02,Weekly earnings - upper quartile - 34 days,A Primary,1282.49
2019-06-02,Weekly earnings - upper quartile - 34 days,B Goods Producing,1519.71
2019-06-02,Weekly earnings - upper quartile - 34 days,C Services,1436.59
2019-06-02,Weekly earnings - upper quartile - 34 days,Z No Match,950
2019-06-02,Weekly earnings - lower quartile - 34 days,Total,631.89
2019-06-02,Weekly earnings - lower quartile - 34 days,A Primary,536.79
2019-06-02,Weekly earnings - lower quartile - 34 days,B Goods Producing,846.15
2019-06-02,Weekly earnings - lower quartile - 34 days,C Services,576
2019-06-02,Weekly earnings - lower quartile - 34 days,Z No Match,208.26
2019-06-09,Number of paid jobs - 34 days,Total,2098050
2019-06-09,Number of paid jobs - 34 days,A Primary,87550
2019-06-09,Number of paid jobs - 34 days,B Goods Producing,401550
2019-06-09,Number of paid jobs - 34 days,C Services,1586790
2019-06-09,Number of paid jobs - 34 days,Z No Match,22160
2019-06-09,Weekly earnings - median - 34 days,Total,1011.4
2019-06-09,Weekly earnings - median - 34 days,A Primary,933.33
2019-06-09,Weekly earnings - median - 34 days,B Goods Producing,1153.85
2019-06-09,Weekly earnings - median - 34 days,C Services,982.62
2019-06-09,Weekly earnings - median - 34 days,Z No Match,570.24
2019-06-09,Weekly earnings - upper quartile - 34 days,Total,1455.87
2019-06-09,Weekly earnings - upper quartile - 34 days,A Primary,1278.84
2019-06-09,Weekly earnings - upper quartile - 34 days,B Goods Producing,1540
2019-06-09,Weekly earnings - upper quartile - 34 days,C Services,1444.57
2019-06-09,Weekly earnings - upper quartile - 34 days,Z No Match,970.14
2019-06-09,Weekly earnings - lower quartile - 34 days,Total,657.69
2019-06-09,Weekly earnings - lower quartile - 34 days,A Primary,580.77
2019-06-09,Weekly earnings - lower quartile - 34 days,B Goods Producing,864
2019-06-09,Weekly earnings - lower quartile - 34 days,C Services,598.5
2019-06-09,Weekly earnings - lower quartile - 34 days,Z No Match,231
2019-06-16,Number of paid jobs - 34 days,Total,2107880
2019-06-16,Number of paid jobs - 34 days,A Primary,88060
2019-06-16,Number of paid jobs - 34 days,B Goods Producing,401570
2019-06-16,Number of paid jobs - 34 days,C Services,1594370
2019-06-16,Number of paid jobs - 34 days,Z No Match,23880
2019-06-16,Weekly earnings - median - 34 days,Total,1006
2019-06-16,Weekly earnings - median - 34 days,A Primary,937.5
2019-06-16,Weekly earnings - median - 34 days,B Goods Producing,1154
2019-06-16,Weekly earnings - median - 34 days,C Services,975
2019-06-16,Weekly earnings - median - 34 days,Z No Match,576.92
2019-06-16,Weekly earnings - upper quartile - 34 days,Total,1447.91
2019-06-16,Weekly earnings - upper quartile - 34 days,A Primary,1293.74
2019-06-16,Weekly earnings - upper quartile - 34 days,B Goods Producing,1545.83
2019-06-16,Weekly earnings - upper quartile - 34 days,C Services,1437
2019-06-16,Weekly earnings - upper quartile - 34 days,Z No Match,978.85
2019-06-16,Weekly earnings - lower quartile - 34 days,Total,650.75
2019-06-16,Weekly earnings - lower quartile - 34 days,A Primary,585.56
2019-06-16,Weekly earnings - lower quartile - 34 days,B Goods Producing,865.36
2019-06-16,Weekly earnings - lower quartile - 34 days,C Services,591.43
2019-06-16,Weekly earnings - lower quartile - 34 days,Z No Match,240
2019-06-23,Number of paid jobs - 34 days,Total,2114400
2019-06-23,Number of paid jobs - 34 days,A Primary,88660
2019-06-23,Number of paid jobs - 34 days,B Goods Producing,402330
2019-06-23,Number of paid jobs - 34 days,C Services,1598080
2019-06-23,Number of paid jobs - 34 days,Z No Match,25330
2019-06-23,Weekly earnings - median - 34 days,Total,1003.1
2019-06-23,Weekly earnings - median - 34 days,A Primary,953.1
2019-06-23,Weekly earnings - median - 34 days,B Goods Producing,1155
2019-06-23,Weekly earnings - median - 34 days,C Services,972.22
2019-06-23,Weekly earnings - median - 34 days,Z No Match,583.33
2019-06-23,Weekly earnings - upper quartile - 34 days,Total,1455
2019-06-23,Weekly earnings - upper quartile - 34 days,A Primary,1306.25
2019-06-23,Weekly earnings - upper quartile - 34 days,B Goods Producing,1548.08
2019-06-23,Weekly earnings - upper quartile - 34 days,C Services,1442.31
2019-06-23,Weekly earnings - upper quartile - 34 days,Z No Match,972.28
2019-06-23,Weekly earnings - lower quartile - 34 days,Total,649.84
2019-06-23,Weekly earnings - lower quartile - 34 days,A Primary,614.46
2019-06-23,Weekly earnings - lower quartile - 34 days,B Goods Producing,865.6
2019-06-23,Weekly earnings - lower quartile - 34 days,C Services,587.96
2019-06-23,Weekly earnings - lower quartile - 34 days,Z No Match,242
2019-06-30,Number of paid jobs - 34 days,Total,2119540
2019-06-30,Number of paid jobs - 34 days,A Primary,89330
2019-06-30,Number of paid jobs - 34 days,B Goods Producing,401650
2019-06-30,Number of paid jobs - 34 days,C Services,1601450
2019-06-30,Number of paid jobs - 34 days,Z No Match,27100
2019-06-30,Weekly earnings - median - 34 days,Total,1008
2019-06-30,Weekly earnings - median - 34 days,A Primary,957.69
2019-06-30,Weekly earnings - median - 34 days,B Goods Producing,1155.24
2019-06-30,Weekly earnings - median - 34 days,C Services,979.2
2019-06-30,Weekly earnings - median - 34 days,Z No Match,570.24
2019-06-30,Weekly earnings - upper quartile - 34 days,Total,1458.33
2019-06-30,Weekly earnings - upper quartile - 34 days,A Primary,1307.69
2019-06-30,Weekly earnings - upper quartile - 34 days,B Goods Producing,1552.38
2019-06-30,Weekly earnings - upper quartile - 34 days,C Services,1446.47
2019-06-30,Weekly earnings - upper quartile - 34 days,Z No Match,969.09
2019-06-30,Weekly earnings - lower quartile - 34 days,Total,654.39
2019-06-30,Weekly earnings - lower quartile - 34 days,A Primary,618.84
2019-06-30,Weekly earnings - lower quartile - 34 days,B Goods Producing,864
2019-06-30,Weekly earnings - lower quartile - 34 days,C Services,596.15
2019-06-30,Weekly earnings - lower quartile - 34 days,Z No Match,240
2019-07-07,Number of paid jobs - 34 days,Total,2101410
2019-07-07,Number of paid jobs - 34 days,A Primary,87580
2019-07-07,Number of paid jobs - 34 days,B Goods Producing,400860
2019-07-07,Number of paid jobs - 34 days,C Services,1590110
2019-07-07,Number of paid jobs - 34 days,Z No Match,22870
2019-07-07,Weekly earnings - median - 34 days,Total,1000
2019-07-07,Weekly earnings - median - 34 days,A Primary,926.76
2019-07-07,Weekly earnings - median - 34 days,B Goods Producing,1143.75
2019-07-07,Weekly earnings - median - 34 days,C Services,972.23
2019-07-07,Weekly earnings - median - 34 days,Z No Match,562.01
2019-07-07,Weekly earnings - upper quartile - 34 days,Total,1449.41
2019-07-07,Weekly earnings - upper quartile - 34 days,A Primary,1273.11
2019-07-07,Weekly earnings - upper quartile - 34 days,B Goods Producing,1538.46
2019-07-07,Weekly earnings - upper quartile - 34 days,C Services,1442.31
2019-07-07,Weekly earnings - upper quartile - 34 days,Z No Match,936.14
2019-07-07,Weekly earnings - lower quartile - 34 days,Total,645
2019-07-07,Weekly earnings - lower quartile - 34 days,A Primary,576.92
2019-07-07,Weekly earnings - lower quartile - 34 days,B Goods Producing,853.57
2019-07-07,Weekly earnings - lower quartile - 34 days,C Services,586
2019-07-07,Weekly earnings - lower quartile - 34 days,Z No Match,244.25
2019-07-14,Number of paid jobs - 34 days,Total,2105750
2019-07-14,Number of paid jobs - 34 days,A Primary,88990
2019-07-14,Number of paid jobs - 34 days,B Goods Producing,400690
2019-07-14,Number of paid jobs - 34 days,C Services,1591780
2019-07-14,Number of paid jobs - 34 days,Z No Match,24290
2019-07-14,Weekly earnings - median - 34 days,Total,1009.23
2019-07-14,Weekly earnings - median - 34 days,A Primary,943.91
2019-07-14,Weekly earnings - median - 34 days,B Goods Producing,1145
2019-07-14,Weekly earnings - median - 34 days,C Services,982.05
2019-07-14,Weekly earnings - median - 34 days,Z No Match,540
2019-07-14,Weekly earnings - upper quartile - 34 days,Total,1457.17
2019-07-14,Weekly earnings - upper quartile - 34 days,A Primary,1285.88
2019-07-14,Weekly earnings - upper quartile - 34 days,B Goods Producing,1535.61
