Series_reference,period,value,Status,Units,Magnitude,seasonality,SNA_Account,Transaction,Transaction_Label,Asset_type,Asset_type_label,Sector,Sector_name,Subject,year,month
SNEQ.SG03AB01GE00S900,2016.06,65453,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB01GE00S900,2016.09,64466,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB01GE00S900,2016.12,71185,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB01GE00S900,2017.03,70247,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB01GE00S900,2017.06,69649,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB01GE00S900,2017.09,69375,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB01GE00S900,2017.12,77160,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB01GE00S900,2018.03,74587,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB01GE00S900,2018.06,74551,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB01GE00S900,2018.09,73074,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB01GE00S900,2018.12,80366,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB01GE00S900,2019.03,78285,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB01GE00S900,2019.06,78558,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB01GE00S900,2019.09,77583,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB01GE00S900,2019.12,85377,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB01GE00S900,2020.03,81711,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB01GE00S900,2020.06,72613,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB01GE00S900,2020.09,80920,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB01GE00S900,2020.12,87724,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB01GE00S900,2021.03,86179,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB01GE00S900,2021.06,88162,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB01GE00S900,2021.09,83973,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB01GE00S900,2021.12,94556,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB01GE00S900,2022.03,91669,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB01GE00S900,2022.06,93509,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB01GE00S900,2022.09,93516,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB01GE00S900,2022.12,101988,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB01GE00S900,2023.03,99106,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB01GE00S900,2023.06,101286,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GE,Gross domestic product - expenditure measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB01GI00S900,2016.06,65304,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB01GI00S900,2016.09,66091,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB01GI00S900,2016.12,71762,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB01GI00S900,2017.03,68115,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,3
SNEQ.SG03AB01GI00S900,2017.06,69283,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,6
SNEQ.SG03AB01GI00S900,2017.09,70924,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,9
SNEQ.SG03AB01GI00S900,2017.12,77595,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2017,12
SNEQ.SG03AB01GI00S900,2018.03,72908,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,3
SNEQ.SG03AB01GI00S900,2018.06,74059,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,6
SNEQ.SG03AB01GI00S900,2018.09,75067,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,9
SNEQ.SG03AB01GI00S900,2018.12,80802,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2018,12
SNEQ.SG03AB01GI00S900,2019.03,76305,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,3
SNEQ.SG03AB01GI00S900,2019.06,77956,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,6
SNEQ.SG03AB01GI00S900,2019.09,79550,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,9
SNEQ.SG03AB01GI00S900,2019.12,85963,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2019,12
SNEQ.SG03AB01GI00S900,2020.03,79979,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,3
SNEQ.SG03AB01GI00S900,2020.06,71945,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,6
SNEQ.SG03AB01GI00S900,2020.09,83525,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,9
SNEQ.SG03AB01GI00S900,2020.12,88212,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2020,12
SNEQ.SG03AB01GI00S900,2021.03,84113,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,3
SNEQ.SG03AB01GI00S900,2021.06,88178,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,6
SNEQ.SG03AB01GI00S900,2021.09,86642,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,9
SNEQ.SG03AB01GI00S900,2021.12,96056,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2021,12
SNEQ.SG03AB01GI00S900,2022.03,90443,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,3
SNEQ.SG03AB01GI00S900,2022.06,94423,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,6
SNEQ.SG03AB01GI00S900,2022.09,97082,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,9
SNEQ.SG03AB01GI00S900,2022.12,103296,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2022,12
SNEQ.SG03AB01GI00S900,2023.03,97652,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,3
SNEQ.SG03AB01GI00S900,2023.06,101239,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B01GIR,Gross domestic product - income measure,,,,,National Accounts - SNA 2008 - SNE,2023,6
SNEQ.SG03AB02G000S800,2016.06,28088,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,6
SNEQ.SG03AB02G000S800,2016.09,28638,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,9
SNEQ.SG03AB02G000S800,2016.12,32630,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2016,12
SNEQ.SG03AB02G000S800,2017.03,30243,Experimental,Dollars,6,A,Consolidated accounts - table 1.1,B02G,Gross operating surplus and gross mixed income,,,,,National Accounts - SNA 2008 - SNE,2017,3
