Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,210,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,213,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Agriculture,Maori authorities,Counts,216,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,78,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,84,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,75,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,84,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,87,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Other primary industries,Maori authorities,Counts,87,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,375,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,387,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,402,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,387,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,378,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,411,2022
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,516,2017
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,528,2018
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,552,2019
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,570,2020
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,570,2021
Table 1,Counts of businesses - Maori authorities,By industry group,All other industries,Maori authorities,Counts,573,2022
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1185,2017
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1209,2018
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1242,2019
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1257,2020
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1254,2021
Table 1,Counts of businesses - Maori authorities,By industry group,Total,Maori authorities,Counts,1290,2022
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1600,2017
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1650,2018
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1850,2019
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1900,2020
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1850,2021
Table 2,Count of employees - Maori authorities,By industry group,Agriculture,Maori authorities,Count,1900,2022
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1150,2017
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1100,2018
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1350,2019
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1350,2020
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1250,2021
Table 2,Count of employees - Maori authorities,By industry group,Other primary industries,Maori authorities,Count,1350,2022
Table 2,Count of employees - Maori authorities,By industry group,Non-residential property operators,Maori authorities,Count,350,2017
