Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,216,2017
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,210,2018
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,213,2019
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,216,2020
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,216,2021
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,216,2022
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,78,2017
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,84,2018
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,75,2019
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,84,2020
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,87,2021
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,87,2022
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,375,2017
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,387,2018
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,402,2019
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,387,2020
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,378,2021
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ngā kaiwhakahaere rawa ehara i te kāinga noho,Ngā uepū Māori,Tau,411,2022
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,516,2017
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,528,2018
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,552,2019
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,570,2020
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,570,2021
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Ērā ahumahi katoa atu,Ngā uepū Māori,Tau,573,2022
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1185,2017
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1209,2018
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1242,2019
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1257,2020
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1254,2021
Ripanga 1,Tatauranga o ngā umanga – Uepū Māori,Ā-rōpū ahumahi,Tapeke,Ngā uepū Māori,Tau,1290,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1600,2017
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1650,2018
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1850,2019
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1900,2020
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1850,2021
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ahuwhenua,Ngā uepū Māori,Tau,1900,2022
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1150,2017
Ripanga 2,Tatauranga o ngā kaimahi - Uepū Māori,Ā-rōpū ahumahi,Ērā atu ahumahi tuatahi,Ngā uepū Māori,Tau,1100,2018
